PLR,CDF
7.142857142857142461e-02,8.205882352941176183e-01
7.142857142857142461e-02,8.235294117647058432e-01
7.142857142857142461e-02,8.264705882352940680e-01
7.142857142857142461e-02,8.294117647058824039e-01
7.857142857142856984e-02,8.323529411764706287e-01
7.857142857142856984e-02,8.352941176470588536e-01
7.857142857142856984e-02,8.382352941176470784e-01
7.857142857142856984e-02,8.411764705882353033e-01
7.857142857142856984e-02,8.441176470588235281e-01
7.857142857142856984e-02,8.470588235294117530e-01
7.857142857142856984e-02,8.499999999999999778e-01
7.857142857142856984e-02,8.529411764705882026e-01
7.857142857142856984e-02,8.558823529411764275e-01
7.857142857142856984e-02,8.588235294117646523e-01
8.571428571428571508e-02,8.617647058823529882e-01
8.571428571428571508e-02,8.647058823529412130e-01
8.571428571428571508e-02,8.676470588235294379e-01
8.571428571428571508e-02,8.705882352941176627e-01
8.571428571428571508e-02,8.735294117647058876e-01
8.571428571428571508e-02,8.764705882352941124e-01
8.571428571428571508e-02,8.794117647058823373e-01
8.571428571428571508e-02,8.823529411764705621e-01
8.571428571428571508e-02,8.852941176470587870e-01
9.285714285714286031e-02,8.882352941176470118e-01
9.285714285714286031e-02,8.911764705882353477e-01
9.285714285714286031e-02,8.941176470588235725e-01
9.285714285714286031e-02,8.970588235294117974e-01
9.285714285714286031e-02,9.000000000000000222e-01
9.285714285714286031e-02,9.029411764705882470e-01
1.000000000000000056e-01,9.058823529411764719e-01
1.000000000000000056e-01,9.088235294117646967e-01
1.000000000000000056e-01,9.117647058823529216e-01
1.071428571428571369e-01,9.147058823529411464e-01
1.071428571428571369e-01,9.176470588235293713e-01
1.071428571428571369e-01,9.205882352941175961e-01
1.071428571428571369e-01,9.235294117647059320e-01
1.071428571428571369e-01,9.264705882352941568e-01
1.071428571428571369e-01,9.294117647058823817e-01
1.142857142857142821e-01,9.323529411764706065e-01
1.214285714285714274e-01,9.352941176470588314e-01
1.214285714285714274e-01,9.382352941176470562e-01
1.214285714285714274e-01,9.411764705882352811e-01
1.214285714285714274e-01,9.441176470588235059e-01
1.214285714285714274e-01,9.470588235294117307e-01
1.285714285714285587e-01,9.499999999999999556e-01
1.285714285714285587e-01,9.529411764705881804e-01
1.285714285714285587e-01,9.558823529411765163e-01
1.285714285714285587e-01,9.588235294117647411e-01
1.285714285714285587e-01,9.617647058823529660e-01
1.357142857142857040e-01,9.647058823529411908e-01
1.357142857142857040e-01,9.676470588235294157e-01
1.357142857142857040e-01,9.705882352941176405e-01
1.428571428571428492e-01,9.735294117647058654e-01
1.499999999999999944e-01,9.764705882352940902e-01
1.499999999999999944e-01,9.794117647058823151e-01
1.642857142857142849e-01,9.823529411764705399e-01
1.642857142857142849e-01,9.852941176470588758e-01
1.714285714285714302e-01,9.882352941176471006e-01
1.714285714285714302e-01,9.911764705882353255e-01
1.785714285714285754e-01,9.941176470588235503e-01
1.928571428571428659e-01,9.970588235294117752e-01
2.785714285714285809e-01,1.000000000000000000e+00
